cidade,produto,categoria,estoque
São Paulo,Prestígio,tradicional,4444
Salvador,Diamente Negro,especial,210
Florianópolis,Diamente Negro,tradicional,274
Florianópolis,Prestígio,tradicional,300
São Paulo,Diamente Negro,especial,515
Curitiba,Ouro Branco,especial,30
Salvador,Chokito,tradicional,335
Curitiba,Chokito,especial,789
Florianópolis,Diamente Negro,especial,255
Florianópolis,Chokito,especial,483
São Paulo,Prestígio,tradicional,250
São Paulo,Ouro Branco,especial,54
Curitiba,Diamente Negro,especial,391
São Paulo,Chokito,tradicional,273
Florianópolis,Ouro Branco,especial,786
Curitiba,Ouro Branco,tradicional,558
Curitiba,Chokito,especial,395
Curitiba,Diamente Negro,tradicional,201
São Paulo,Prestígio,especial,897
Porto Alegre,Chokito,tradicional,564
Florianópolis,Prestígio,tradicional,185
Curitiba,Ouro Branco,tradicional,326
São Paulo,Diamente Negro,especial,474
Porto Alegre,Chokito,especial,274
Curitiba,Diamente Negro,tradicional,249
São Paulo,Ouro Branco,tradicional,333
Florianópolis,Diamente Negro,especial,244
Curitiba,Prestígio,especial,168
Salvador,Ouro Branco,tradicional,274
São Paulo,Diamente Negro,tradicional,300
Florianópolis,Prestígio,tradicional,515
Curitiba,Ouro Branco,especial,333
Porto Alegre,Prestígio,especial,335
São Paulo,Diamente Negro,tradicional,481
Curitiba,Prestígio,especial,462
Florianópolis,Ouro Branco,especial,932
Florianópolis,Diamente Negro,especial,155
Porto Alegre,Diamente Negro,tradicional,296
São Paulo,Prestígio,especial,168
Porto Alegre,Ouro Branco,especial,274
Curitiba,Prestígio,especial,300
São Paulo,Prestígio,especial,515
Florianópolis,Prestígio,tradicional,456
Florianópolis,Prestígio,especial,335
Curitiba,Prestígio,tradicional,326
São Paulo,Diamente Negro,tradicional,39
Curitiba,Chokito,tradicional,243
Porto Alegre,Chokito,especial,178
Curitiba,Prestígio,especial,294
Curitiba,Ouro Branco,tradicional,250
Florianópolis,Ouro Branco,tradicional,123
Porto Alegre,Diamente Negro,especial,345
São Paulo,Chokito,tradicional,101
Porto Alegre,Diamente Negro,tradicional,65
São Paulo,Ouro Branco,especial,57
Curitiba,Diamente Negro,especial,270
Porto Alegre,Prestígio,tradicional,234
Curitiba,Ouro Branco,especial,90
Porto Alegre,Diamente Negro,tradicional,101
Porto Alegre,Prestígio,tradicional,65
São Paulo,Ouro Branco,especial,45
Curitiba,Prestígio,especial,270
