orcamento,lingua_original,titulo,popularidade,data_lancamento,faturamento,tempo,estado,rotulo,media_votos,contagem_votos
237000000,en,Avatar,150.437577,2009-12-10,2787965087,162,Released,Enter the World of Pandora.,7.2,11800
300000000,en,Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,169,Released,"At the end of the world, the adventure begins.",6.9,4500
245000000,en,Spectre,107.376788,2015-10-26,880674609,148,Released,A Plan No One Escapes,6.3,4466
250000000,en,The Dark Knight Rises,112.31295,2012-07-16,1084939099,165,Released,The Legend Ends,7.6,9106
260000000,en,John Carter,43.926995,2012-03-07,284139100,132,Released,"Lost in our world, found in another.",6.1,2124
258000000,en,Spider-Man 3,115.699814,2007-05-01,890871626,139,Released,The battle within.,5.9,3576
260000000,en,Tangled,48.681969,2010-11-24,591794936,100,Released,They're taking adventure to new lengths.,7.4,3330
280000000,en,Avengers: Age of Ultron,134.279229,2015-04-22,1405403694,141,Released,A New Age Has Come.,7.3,6767
250000000,en,Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,153,Released,Dark Secrets Revealed,7.4,5293
250000000,en,Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,151,Released,Justice or revenge,5.7,7004
270000000,en,Superman Returns,57.925623,2006-06-28,391081192,154,Released,,5.4,1400
200000000,en,Quantum of Solace,107.928811,2008-10-30,586090727,106,Released,"For love, for hate, for justice, for revenge.",6.1,2965
200000000,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151,Released,Jack is back!,7.0,5246
255000000,en,The Lone Ranger,49.046956,2013-07-03,89289910,149,Released,Never Take Off the Mask,5.9,2311
225000000,en,Man of Steel,99.398009,2013-06-12,662845518,143,Released,You will believe that a man can fly.,6.5,6359
225000000,en,The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,150,Released,Hope has a new face.,6.3,1630
220000000,en,The Avengers,144.448633,2012-04-25,1519557910,143,Released,Some assembly required.,7.4,11776
380000000,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136,Released,Live Forever Or Die Trying.,6.4,4948
225000000,en,Men in Black 3,52.035179,2012-05-23,624026776,106,Released,They are back... in time.,6.2,4160
250000000,en,The Hobbit: The Battle of the Five Armies,120.965743,2014-12-10,956019788,144,Released,Witness the defining chapter of the Middle-Earth saga,7.1,4760
215000000,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136,Released,The untold story begins.,6.5,6586
200000000,en,Robin Hood,37.668301,2010-05-12,310669540,140,Released,"Rise and rise again, until lambs become lions.",6.2,1398
250000000,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524
180000000,en,The Golden Compass,42.990906,2007-12-04,372234864,113,Released,There are worlds beyond our own - the compass will show the way.,5.8,1303
207000000,en,King Kong,61.22601,2005-12-14,550000000,187,Released,The eighth wonder of the world.,6.6,2337
200000000,en,Titanic,100.025899,1997-11-18,1845034188,194,Released,Nothing on Earth could come between them.,7.5,7562
250000000,en,Captain America: Civil War,198.372395,2016-04-27,1153304495,147,Released,Divided We Fall,7.1,7241
209000000,en,Battleship,64.928382,2012-04-11,303025485,131,Released,The Battle for Earth Begins at Sea,5.5,2114
150000000,en,Jurassic World,418.708552,2015-06-09,1513528810,124,Released,The park is open.,6.5,8662
200000000,en,Skyfall,93.004993,2012-10-25,1108561013,143,Released,Think on your sins.,6.9,7604
200000000,en,Spider-Man 2,35.149586,2004-06-25,783766341,127,Released,There's a hero in all of us.,6.7,4321
200000000,en,Iron Man 3,77.68208,2013-04-18,1215439994,130,Released,Unleash the power behind the armor.,6.8,8806
200000000,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108,Released,You're invited to a very important date.,6.4,4645
210000000,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104,Released,Take a Stand,6.3,3525
200000000,en,Monsters University,89.186492,2013-06-20,743559607,104,Released,School never looked this scary.,7.0,3528
150000000,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150,Released,Revenge is coming.,6.0,3138
210000000,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165,Released,This is not war. It's extinction.,5.8,3095
200000000,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130,Released,"In Oz, nothing is what it seems",5.7,3530
200000000,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142,Released,No more secrets.,6.5,4179
170000000,en,TRON: Legacy,73.79505,2010-12-10,400062763,125,Released,The Game Has Changed.,6.3,2841
200000000,en,Cars 2,49.98659,2011-06-11,559852396,106,Released,Ka-ciao!,5.8,2033
200000000,en,Green Lantern,51.872839,2011-06-16,219851172,114,Released,"In our darkest hour, there will be light.",5.1,2487
200000000,en,Toy Story 3,59.995418,2010-06-16,1066969703,103,Released,No toy gets left behind.,7.6,4597
200000000,en,Terminator Salvation,71.862892,2009-05-20,371353001,115,Released,The End Begins.,5.9,2463
190000000,en,Furious 7,102.322217,2015-04-01,1506249360,137,Released,Vengeance Hits Home,7.3,4176
200000000,en,World War Z,81.834855,2013-06-20,531865000,116,Released,Remember Philly!,6.7,5560
250000000,en,X-Men: Days of Future Past,118.078691,2014-05-15,747862775,131,Released,"To save the future, they must alter the past",7.5,6032
190000000,en,Star Trek Into Darkness,78.291018,2013-05-05,467365246,132,Released,Earth Will Fall,7.4,4418
195000000,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114,Released,Prepare for a giant adventure,5.5,2598
